STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,AWND,WDF2,WSF2
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161028,0.06,1.2,0,42,50,37,12.3,310,28
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161029,0.01,-9999,0,45,59,35,7.6,210,19.9
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161030,0.3,-9999,0,56,68,45,5.6,340,15
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161031,0,-9999,0,48,54,30,8.5,350,18.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161101,0,-9999,0,40,57,28,4.7,190,15
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161102,0,-9999,0,55,71,47,6,230,10.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161103,0,-9999,0,58,72,49,6.5,290,30
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161104,0,-9999,0,53,59,40,8.9,310,18.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161105,0,-9999,0,44,59,32,5.4,300,15
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161106,0,-9999,0,47,52,37,10.3,10,25.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161107,0,-9999,0,41,52,29,5.8,40,15
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161108,0,-9999,0,40,65,26,0.2,290,6
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161109,0.01,-9999,0,42,51,32,3.6,10,16.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161110,0,-9999,0,46,56,33,7.4,180,14.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161111,0,-9999,0,48,61,37,14.3,300,36.9
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161112,0,-9999,0,39,49,27,6.3,260,15
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161113,0,-9999,0,45,63,33,6.7,260,14.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161114,0,-9999,0,46,65,28,3.6,190,13
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161115,0.7,-9999,0,46,49,42,9.2,10,19.9
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161116,0.01,-9999,0,51,59,42,7.6,310,17
